Date,gdp,,,,
8/1/2017,19561.90,,,,
9/1/2017,19561.90,,,,
10/1/2017,19894.75,,,,
11/1/2017,19894.75,,,,
12/1/2017,19894.75,,,,
1/1/2018,20155.49,,,,
2/1/2018,20155.49,,,,
3/1/2018,20155.49,,,,
4/1/2018,20470.20,,,,
5/1/2018,20470.20,,,,
6/1/2018,20470.20,,,,
7/1/2018,20687.28,,,,
8/1/2018,20687.28,,,,
9/1/2018,20687.28,,,,
10/1/2018,20819.27,,,,
11/1/2018,20819.27,,,,
12/1/2018,20819.27,,,,
1/1/2019,21013.09,,,,
2/1/2019,21013.09,,,,
3/1/2019,21013.09,,,,
4/1/2019,21272.45,,,,
5/1/2019,21272.45,,,,
6/1/2019,21272.45,,,,
7/1/2019,21531.84,,,,
8/1/2019,21531.84,,,,
9/1/2019,21531.84,,,,
10/1/2019,21706.53,,,,
11/1/2019,21706.53,,,,
12/1/2019,21706.53,,,,
1/1/2020,21538.03,,,,
2/1/2020,21538.03,,,,
3/1/2020,21538.03,,,,
4/1/2020,19636.73,,,,
5/1/2020,19636.73,,,,
6/1/2020,19636.73,,,,
7/1/2020,21362.43,,,,
8/1/2020,21362.43,,,,
9/1/2020,21362.43,,,,
10/1/2020,21704.71,,,,
11/1/2020,21704.71,,,,
12/1/2020,21704.71,,,,
1/1/2021,22313.85,,,,
2/1/2021,22313.85,,,,
3/1/2021,22313.85,,,,
4/1/2021,23046.93,,,,
5/1/2021,23046.93,,,,
6/1/2021,23046.93,,,,
7/1/2021,23550.42,,,,
8/1/2021,23550.42,,,,
9/1/2021,23550.42,,,,
10/1/2021,24349.12,,,,
11/1/2021,24349.12,,,,
12/1/2021,24349.12,,,,
