DATE,GDP,,,,
8/1/2017,19561.896,,,,
9/1/2017,19561.896,,,,
10/1/2017,19894.75,,,,
11/1/2017,19894.75,,,,
12/1/2017,19894.75,,,,
1/1/2018,20155.486,,,,
2/1/2018,20155.486,,,,
3/1/2018,20155.486,,,,
4/1/2018,20470.197,,,,
5/1/2018,20470.197,,,,
6/1/2018,20470.197,,,,
7/1/2018,20687.278,,,,
8/1/2018,20687.278,,,,
9/1/2018,20687.278,,,,
10/1/2018,20819.269,,,,
11/1/2018,20819.269,,,,
12/1/2018,20819.269,,,,
1/1/2019,21013.085,,,,
2/1/2019,21013.085,,,,
3/1/2019,21013.085,,,,
4/1/2019,21272.448,,,,
5/1/2019,21272.448,,,,
6/1/2019,21272.448,,,,
7/1/2019,21531.839,,,,
8/1/2019,21531.839,,,,
9/1/2019,21531.839,,,,
10/1/2019,21706.532,,,,
11/1/2019,21706.532,,,,
12/1/2019,21706.532,,,,
1/1/2020,21538.032,,,,
2/1/2020,21538.032,,,,
3/1/2020,21538.032,,,,
4/1/2020,19636.731,,,,
5/1/2020,19636.731,,,,
6/1/2020,19636.731,,,,
7/1/2020,21362.428,,,,
8/1/2020,21362.428,,,,
9/1/2020,21362.428,,,,
10/1/2020,21704.706,,,,
11/1/2020,21704.706,,,,
12/1/2020,21704.706,,,,
1/1/2021,22313.85,,,,
2/1/2021,22313.85,,,,
3/1/2021,22313.85,,,,
4/1/2021,23046.934,,,,
5/1/2021,23046.934,,,,
6/1/2021,23046.934,,,,
7/1/2021,23550.42,,,,
8/1/2021,23550.42,,,,
9/1/2021,23550.42,,,,
10/1/2021,24349.121,,,,
11/1/2021,24349.121,,,,
12/1/2021,24349.121,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
